EMPLOYER_NAME,certified_positions,applications,median_annual_wage
HCL GLOBAL SYSTEMS INC,2,2,138424.0
SYSTEMSOFT INC,2,2,106956.0
Hyposoft Solutions Inc,2,2,126090.0
SYSRS IT SERVICES LLC,2,2,126090.0
HealthEdge Software,2,2,138620.0
HealthPRO Heritage LLC,2,2,97739.0
SUPREMESOFT CORPORATION,2,2,114611.0
"SUNRAY INFORMATION TECHNOLOGIES, INC.",2,2,110000.0
STONEGATE TECHNOLOGIES LLC.,2,2,126090.0
"InCom Technologies, Inc.",2,2,163215.0
SICL AMERICA INC,2,2,109720.0
"SHOOLIN, INC.",2,2,102752.0
Joe Singh & Associates PC,2,2,88816.0
JEAN MARTIN INC,2,2,108836.0
JNIT Technologies Inc,2,2,135710.0
"RootLogic Systems, LLC",2,2,118000.0
JOB MARKET TRAINING.COM LLC,2,2,97458.0
JUDGE TECHNICAL SERVICES INC,2,2,134420.0
Roblox Corporation,2,2,168815.0
"Johnson, Mirmiran & Thompson, Inc.",2,2,120389.0
"Infinite Computer Solutions, Inc.",2,2,119766.0
Rigil Corporation,2,2,83907.0
Richard-Allan Scientific,2,2,83429.0
"Jupiter Software Solutions, LLC.",2,2,126100.0
KARYO E SYSTEMS INC,2,2,106454.0
"Revolutional, LLC FKA Harmonia Holdings Group LLC",2,2,154000.0
"Resonate Networks, Inc.",2,2,151936.0
Rubik Systems LLC,2,2,104083.0
"Rx Office, Inc",2,2,93434.0
Isolve Technology Inc,2,2,127800.0
"Iridium Satellite, LLC",2,2,177358.0
IntraFi LLC,2,2,192094.0
International Solutions Group Inc,2,2,192473.0
EAI TECHNOLOGIES LLC,2,2,85000.0
"Intellibee, Inc.",2,2,124540.0
SAISA LLC,2,2,163092.0
SANN IT SOLUTIONS INC,2,2,138424.0
Institute for Building Technology and Safety,2,2,126997.0
SAR TECH LLC,2,2,119278.0
SARANSH INC,2,2,101500.0
"InnoRev Technologies, INC",2,2,165045.0
SBHR LLC.,2,2,77106.0
SCALIAN CORPORATION,2,2,95000.0
InfoMarines Inc,2,2,140837.0
Intellisoft Systems LLC,2,2,91582.0
"PERSISTENT SYSTEMS, INC.",2,2,144408.0
Black & Veatch Corporation,2,2,137727.0
Yarrow Technologies Inc,2,2,108836.0
Technocorp Solutions Inc,2,2,116501.0
"C2 Educational Systems, Inc.",2,2,65936.0
Computer Sciences Corporation,2,2,131424.0
"CAROLLO ENGINEERS, INC.",2,2,108444.0
"Wendroff and Associates, LLC",2,2,83000.0
AXLE INFORMATICS,2,2,103250.0
AXLE IT INC.,2,2,124800.0
ApexCode Labs Inc.,2,2,150758.0
